Species,HBL,HFL,WT,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Maxomys_alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial
Maxomys_baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial
Maxomys_bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial
Maxomys_ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial
Maxomys_panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial
Crunomys_celebensis,141,26,45,18.9,24.6,13.2,-2.34,Forest,Terrestrial
Crunomys_melanius,110,26,54,25.6,31.8,19.4,7.33,Forest,Terrestrial
Crunomys_suncoides,108,27,37,20.3,27.2,12.8,8.13,Forest,Terrestrial
Leopoldamys_ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial
Leopoldamys_neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial
Niviventer_cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial
Niviventer_coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial
Niviventer_eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial
Niviventer_hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial
Niviventer_niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial
Niviventer_rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial
Bullimus_bagobus,226,64,396,26.1,31.8,20.2,8.39,Forest,Terrestrial
Bullimus_gamay,234,52,368,26.4,32,20.8,9.17,Forest,Terrestrial
Bullimus_luzonicus,249,52,444,23.8,29.9,17,16.23,Forest,Terrestrial
Bandicota_bengalensis,195,35,244,24.8,35.9,12.2,21.17,Forest,Terrestrial
Rattus_baluensis,169,30,110,20.2,26.6,13.7,6.07,Forest,Terrestrial
Rattus_blangorum,144,32,82,19.4,25.2,14.2,3.94,Forest,Terrestrial
Rattus_colletti,160,30,138,27.2,35,18.1,-12.77,Grassland,Terrestrial
Rattus_everetti,222,46,355,25.7,31.6,19.6,11.95,Forest,Terrestrial
Rattus_feliceus,215,46,308,25.5,30.3,20.2,-3.2,Forest,Terrestrial
Rattus_fuscipes,182,34,101,15.9,26.2,4.2,-32.34,Forest,Terrestrial
Rattus_hainaldi,133,30,81,20.3,25.5,14.6,-8.64,Forest,Terrestrial
Rattus_leucopus,158,35,94,26,32.1,19.2,-8.23,Forest,Terrestrial
Rattus_lutreolus,145,28,78,14.6,24,4,-35.06,Forest,Terrestrial
Rattus_nikenii,172,38,134,27,31,22.7,0.46,Forest,Terrestrial
Rattus_norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial
Rattus_rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial
Rattus_sordidus,169,31,165,25.1,33.4,15.9,-14.66,Forest,Terrestrial
Rattus_timorensis,157,30,112,19.9,26.2,12.9,-9.56,Forest,Terrestrial
Rattus_tunneyi,136,29,84,24.5,34.6,12.7,-18.48,Savanna,Terrestrial
Rattus_vandeuseni,125,31,60,18.4,24.1,12.2,-9.82,Forest,Terrestrial
Rattus_villosissimus,151,33,144,24.2,37.8,8.6,-22.16,Grassland,Terrestrial
