Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Abeomelomys_sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial,"Alhajeri et al, 2020"
Acomys_johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial,"Alhajeri et al, 2020, Arctos"
Acomys_minous,116,19,53,16.4,27.5,4.7,35.23,Forest,Terrestrial,"Alhajeri et al, 2020"
Acomys_muzei,86,16,19,22,29.8,13.3,-6.68,Savanna,Terrestrial,"Alhajeri et al, 2020, Arctos"
Acomys_nesiotes,118,20,52,18.2,32,4.4,35.05,Rocky Areas,Terrestrial,"Alhajeri et al, 2020"
Acomys_ngurui,91,15,23,23.9,31.1,16,-8.63,Forest,Terrestrial,"Alhajeri et al, 2020"
Acomys_percivali,97,13,30,25.2,32.5,17.4,3.11,Savanna,Terrestrial,"Alhajeri et al, 2020"
Acomys_russatus,109,19,37,24.2,37.2,9.6,22.12,Rocky Areas,Terrestrial,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Aethomys_hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Aethomys_ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial,"Alhajeri et al, 2020"
Aethomys_kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial,"Alhajeri et al, 2020, Arctos"
Aethomys_nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial,"Alhajeri et al, 2020"
Apodemus_alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial,"Alhajeri et al, 2020"
Apodemus_epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial,"Alhajeri et al, 2020"
Apodemus_semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial,"Alhajeri et al, 2020"
Apomys_abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,"Alhajeri et al, 2020, Arctos"
Apomys_aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,"Alhajeri et al, 2020, Arctos"
Apomys_banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial,"Alhajeri et al, 2020, Arctos"
Apomys_brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial,"Alhajeri et al, 2020, Arctos"
