Specie Name,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,logMean_Temp,logHFL,logWT,Reference
Praomys_daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial,3.299533728,2.995732274,3.526360525,"Alhajeri et al, 2020, Arctos"
Praomys_degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial,2.778819272,3.218875825,3.663561646,"Alhajeri et al, 2020, Arctos"
Mastomys_natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,3.18221184,3.135494216,3.663561646,"Alhajeri et al, 2020"
Mastomys_erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,3.269568939,3.17805383,4.025351691,"Alhajeri et al, 2020"
Mastomys_huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,3.325036021,3.218875825,4.007333185,"Alhajeri et al, 2020"
Mastomys_coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,2.939161922,2.995732274,3.433987204,"Alhajeri et al, 2020"
Mastomys_kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,3.310543013,3.295836866,4.553876892,"Alhajeri et al, 2020"
Stenocephalemys_griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial,2.740840024,3.401197382,4.59511985,"Alhajeri et al, 2020"
Mus_musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,2.557227311,2.944438979,2.772588722,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Mus_pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,2.965273066,3.091042453,3.091042453,"Alhajeri et al, 2020"
Apodemus_alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial,1.335001067,3.17805383,3.433987204,"Alhajeri et al, 2020"
Apodemus_semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial,2.975529566,3.17805383,3.496507561,"Alhajeri et al, 2020"
Malacomys_cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,3.254242969,3.761200116,4.406719247,"Alhajeri et al, 2020"
Malacomys_edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,3.258096538,3.496507561,4.077537444,"Alhajeri et al, 2020"
Malacomys_longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,3.18221184,3.555348061,4.219507705,"Alhajeri et al, 2020"
Arvicanthis_niloticus,141,31,102,25.6,35.1,15,8.82,Savanna,Terrestrial,3.242592351,3.433987204,4.624972813,"Alhajeri et al, 2020"
Rhabdomys_dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,,2.917770732,3.044522438,3.663561646,"Alhajeri et al, 2020"
Pelomys_fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial,3.086486637,3.465735903,4.65396035,"Alhajeri et al, 2020"
Desmomys_harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial,2.944438979,3.33220451,4.17438727,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Dasymys_rufulus,144,33,78,26.5,33.6,18.1,8.73,Savanna,Terrestrial,3.277144733,3.496507561,4.356708827,"Alhajeri et al, 2020"
Grammomys_cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal,3.08190997,3.17805383,3.951243719,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Aethomys_kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial,3.08190997,3.218875825,4.564348191,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Micaelamys_namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,2.990719732,3.218875825,3.688879454,"Alhajeri et al, 2020"
Dephomys_defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal,3.254242969,3.258096538,3.850147602,"Alhajeri et al, 2020"
Thallomys_nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial,3.04927304,3.218875825,4.304065093,"Alhajeri et al, 2020"
Thallomys_loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial,2.939161922,3.295836866,4.382026635,"Alhajeri et al, 2020"
Otomys_angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial,2.944438979,3.258096538,4.532599493,"Alhajeri et al, 2020"
Millardia_kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,3.295836866,3.33220451,4.532599493,"Alhajeri et al, 2020"
Melomys_burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,3.218875825,3.218875825,3.80666249,"Alhajeri et al, 2020"
Melomys_cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,3.000719815,3.36729583,4.304065093,"Alhajeri et al, 2020"
Melomys_leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,3.258096538,3.465735903,4.804021045,"Alhajeri et al, 2020"
Paramelomys_platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial,3.234749174,3.295836866,3.761200116,"Alhajeri et al, 2020"
Mesembriomys_gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,3.222867846,4.234106505,6.606650186,"Alhajeri et al, 2020"
Leporillus_conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial,2.917770732,3.80666249,6.011267174,"Alhajeri et al, 2020"
Leptomys_elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial,3.165475048,3.583518938,4.369447852,"Alhajeri et al, 2020"
Abeomelomys_sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial,2.778819272,3.295836866,3.988984047,"Alhajeri et al, 2020"
Mallomys_rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,2.912350665,4.17438727,7.054449658,"Alhajeri et al, 2020"
Mammelomys_lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,2.895911938,3.610917913,4.753590191,"Alhajeri et al, 2020"
Macruromys_major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,2.93385687,3.970291914,5.857933154,"Alhajeri et al, 2020"
Chiruromys_vates,110,24,46,24.9,31.6,17.6,-7.45,Forest,Arboreal,3.214867803,3.17805383,3.828641396,"Alhajeri et al, 2020"
Apomys_abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,3.04927304,3.583518938,4.234106505,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Apomys_aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,3.198673118,3.555348061,4.356708827,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Rattus_rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial,2.93385687,3.526360525,4.787491743,"Alhajeri et al, 2020"
Rattus_norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial,2.00148,3.663561646,4.990432587,"Alhajeri et al, 2020"
Bandicota_bengalensis,195,35,244,24.8,35.9,12.2,21.17,Forest,Terrestrial,3.210843653,3.555348061,5.497168225,"Alhajeri et al, 2020"
Bullimus_luzonicus,249,52,444,23.8,29.9,17,16.23,Forest,Terrestrial,3.169685581,3.951243719,6.095824562,"Alhajeri et al, 2020"
Niviventer_eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial,1.960094784,3.433987204,3.63758616,"Alhajeri et al, 2020"
Leopoldamys_neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial,3.265759411,3.737669618,5.393627546,"Alhajeri et al, 2020"
Crunomys_suncoides,108,27,37,20.3,27.2,12.8,8.13,Forest,Terrestrial,3.010620886,3.295836866,3.610917913,"Alhajeri et al, 2020"
Crunomys_melanius,110,26,54,25.6,31.8,19.4,7.33,Forest,Terrestrial,3.242592351,3.258096538,3.988984047,"Alhajeri et al, 2020"
Maxomys_bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,2.949688335,3.526360525,4.624972813,"Alhajeri et al, 2020"
Batomys_granti,202,36,179,19.3,25.7,12.1,17.07,Forest,Terrestrial,2.960105096,3.583518938,5.187385806,"Alhajeri et al, 2020"
Carpomys_phaeurus,170,32,123,18.8,25.2,11.4,17.08,Forest,Arboreal,2.93385687,3.465735903,4.812184355,"Alhajeri et al, 2020"
Phloeomys_cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal,3.277144733,4.382026635,7.575584652,"Alhajeri et al, 2020"
Phloeomys_pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal,3.157000421,4.442651256,7.803843304,"Alhajeri et al, 2020"
Meriones_shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,2.890371758,3.496507561,4.356708827,"Alhajeri et al, 2020"
Gerbilliscus_gambiana,157,31,94,27.6,37.8,16.2,13.58,Savanna,Terrestrial,3.317815773,3.433987204,4.543294782,"Alhajeri et al, 2020"
Desmodillus_auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial,2.975529566,3.218875825,3.828641396,"Alhajeri et al, 2020"
Acomys_johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial,3.328626689,2.890371758,3.610917913,"Alhajeri et al, 2020, Arctos"
Lophuromys_woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,2.912350665,3.258096538,3.850147602,"Alhajeri et al, 2020"
Deomys_ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial,3.169685581,3.63758616,4.33073334,"Alhajeri et al, 2020, Arctos"
Dendromus_insignis,84,20,14,15.1,20.9,8.9,0.98,Forest,Terrestrial,2.714694744,2.995732274,2.63905733,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
